Season,Week,Window,Away,Home,PctMarkets,Viewers
2023,18,Late,DAL,WSH,76,21.73
2023,18,SNF,BUF,MIA,100,21.18
2023,18,Late,CHI,GB,58,21
2023,18,Early Sat,PIT,BAL,100,19.78
2023,18,Late Sat,HOU,IND,100,19.7
2023,18,Early,JAX,TEN,57,11.78
2023,18,Early,MIN,DET,63,11.3
2023,17,Late,CIN,KC,91,26.17
2023,17,MNF Saturday,DET,DAL,100,26.11
2023,17,SNF,GB,MIN,100,18.14
2023,17,Early,MIA,BAL,70,17.93
2023,17,Single,PIT,SEA,36,15.5
2023,17,TNF,NYJ,CLE,100,10.29
2023,16,Late,DAL,MIA,93,31.52
2023,16,Special,LV,KC,100,29.48
2023,16,Special,NYG,PHI,100,29.02
2023,16,MNF,BAL,SF,100,27.61
2023,16,Early,DET,MIN,77,15.58
2023,16,Special,CIN,PIT,100,14.29
2023,16,Single,CLE,HOU,49,12.02
2023,16,Special,NE,DEN,100,10.21
2023,16,TNF,NO,LAR,100,10.2
2023,16,Special,BUF,LAC,100,7.33
2023,15,Late,DAL,BUF,100,26.34
2023,15,Early,KC,NE,67,16.44
2023,15,SNF,BAL,JAX,100,16.31
2023,15,Single,TB,GB,32,14.42
2023,15,Special,PIT,IND,100,9.79
2023,15,Special,DEN,DET,100,9.15
2023,15,TNF,LAC,LV,100,7.98
2023,15,Special,MIN,CIN,100,7.53
2023,14,Late,BUF,KC,90,26.04
2023,14,SNF,PHI,DAL,100,24.18
2023,14,Single,SEA,SF,47,17.03
2023,14,Early,JAX,CLE,65,15.03
2023,14,MNF,GB,NYG,100,11.41
2023,14,TNF,NE,PIT,100,10.71
2023,14,MNF,TEN,MIA,100,7.3
2023,13,Late,SF,PHI,84,27.7
2023,13,SNF,KC,GB,100,23.57
2023,13,MNF,CIN,JAX,100,16.44
2023,13,TNF,SEA,DAL,100,15.26
2023,13,Single,DEN,HOU,44,14.38
2023,13,Early,DET,NO,72,12.2
2023,12,Special,WSH,DAL,100,41.76
2023,12,Special,GB,DET,100,33.7
2023,12,Late,BUF,PHI,69,30.9
2023,12,Special,SF,SEA,100,24.78
2023,12,MNF,CHI,MIN,100,17.73
2023,12,SNF,BAL,LAC,100,16.43
2023,12,Early,PIT,CIN,70,16.29
