,Team,Stadium,Week,Slot
0,0,0,1,0
1,0,0,2,0
2,0,0,4,0
3,0,0,10,3
4,0,0,12,3
5,0,0,13,3
6,0,0,14,3
7,0,0,16,0
8,0,0,17,0
9,0,1,3,0
10,0,1,9,3
11,0,12,6,3
12,0,16,7,3
13,0,17,5,3
14,0,26,11,3
15,0,27,0,0
16,0,28,8,3
17,1,0,13,3
18,1,1,0,0
19,1,1,1,0
20,1,1,3,0
21,1,1,4,0
22,1,1,5,3
23,1,1,7,3
24,1,1,9,3
25,1,1,11,3
26,1,1,12,3
27,1,1,17,0
28,1,4,2,0
29,1,9,6,3
30,1,9,8,3
31,1,21,16,0
32,1,22,10,3
33,1,29,14,3
34,2,0,1,0
35,2,1,11,3
36,2,2,0,0
37,2,2,3,0
38,2,2,7,3
39,2,2,9,3
40,2,2,10,3
41,2,2,12,3
42,2,2,13,3
43,2,2,16,0
44,2,4,8,3
45,2,6,5,3
46,2,7,17,0
47,2,17,14,3
48,2,20,4,0
49,2,21,6,3
50,2,26,15,0
51,3,3,3,0
52,3,3,4,0
53,3,3,5,3
54,3,3,7,3
55,3,3,8,3
56,3,3,10,3
57,3,3,11,3
58,3,3,12,3
59,3,3,14,3
60,3,3,15,0
61,3,3,17,0
62,3,8,13,3
63,3,19,6,3
64,3,21,0,0
65,3,24,1,0
66,3,31,2,0
67,3,31,9,3
68,4,1,4,0
69,4,4,2,0
70,4,4,3,0
71,4,4,5,3
72,4,4,7,3
73,4,4,8,3
74,4,4,9,3
75,4,4,10,3
76,4,5,6,3
77,4,11,11,3
78,4,11,12,3
79,4,14,13,3
80,4,18,14,3
81,4,22,0,0
82,4,25,1,0
83,4,25,17,0
84,4,29,16,0
85,5,1,17,0
86,5,5,5,3
87,5,5,6,3
88,5,5,7,3
89,5,5,9,3
90,5,5,10,3
91,5,5,14,3
92,5,5,15,0
93,5,5,16,0
94,5,10,4,0
95,5,11,1,0
96,5,12,12,3
97,5,14,8,3
98,5,20,2,0
99,5,23,11,3
100,5,26,0,0
101,5,30,13,3
102,6,2,16,0
103,6,3,7,3
104,6,6,5,3
105,6,6,8,3
106,6,6,9,3
107,6,6,12,3
108,6,6,13,3
109,6,6,15,0
110,6,6,17,0
111,6,7,3,0
112,6,10,14,3
113,6,12,0,0
114,6,12,11,3
115,6,15,6,3
116,6,23,10,3
117,6,24,2,0
118,6,26,4,0
119,7,2,0,0
120,7,6,15,0
121,7,7,3,0
122,7,7,4,0
123,7,7,5,3
124,7,7,8,3
125,7,7,10,3
126,7,7,11,3
127,7,7,16,0
128,7,7,17,0
129,7,8,2,0
130,7,11,14,3
131,7,13,6,3
132,7,15,7,3
133,7,22,9,3
134,7,26,12,3
135,7,28,13,3
136,8,8,0,0
137,8,8,1,0
138,8,8,2,0
139,8,8,4,0
140,8,8,6,3
141,8,8,9,3
142,8,8,10,3
143,8,8,11,3
144,8,8,12,3
145,8,8,13,3
146,8,8,14,3
147,8,8,15,0
148,8,8,17,0
149,8,23,16,0
150,8,25,8,3
151,8,26,5,3
152,8,31,7,3
153,9,3,11,3
154,9,8,12,3
155,9,9,1,0
156,9,9,3,0
157,9,9,5,3
158,9,9,6,3
159,9,9,8,3
160,9,9,9,3
161,9,9,10,3
162,9,9,13,3
163,9,9,14,3
164,9,9,16,0
165,9,11,7,3
166,9,15,0,0
167,9,17,4,0
168,9,18,15,0
169,9,27,17,0
170,10,1,1,0
171,10,5,9,3
172,10,8,17,0
173,10,10,0,0
174,10,10,4,0
175,10,10,8,3
176,10,10,10,3
177,10,10,11,3
178,10,10,12,3
179,10,10,14,3
180,10,10,15,0
181,10,11,2,0
182,10,16,5,3
183,10,17,3,0
184,10,20,13,3
185,10,21,7,3
186,10,30,6,3
187,11,2,10,3
188,11,3,8,3
189,11,5,16,0
190,11,9,5,3
191,11,10,0,0
192,11,11,1,0
193,11,11,2,0
194,11,11,4,0
195,11,11,6,3
196,11,11,7,3
197,11,11,9,3
198,11,11,11,3
199,11,11,12,3
200,11,11,13,3
201,11,11,14,3
202,11,16,17,0
203,11,20,15,0
204,12,6,9,3
205,12,12,0,0
206,12,12,1,0
207,12,12,5,3
208,12,12,6,3
209,12,12,7,3
210,12,12,11,3
211,12,12,12,3
212,12,12,13,3
213,12,12,15,0
214,12,12,16,0
215,12,13,3,0
216,12,14,2,0
217,12,16,10,3
218,12,20,8,3
219,12,28,14,3
220,12,30,4,0
221,13,2,7,3
222,13,4,9,3
223,13,5,5,3
224,13,8,1,0
225,13,11,4,0
226,13,12,16,0
227,13,13,2,0
228,13,13,3,0
229,13,13,6,3
230,13,13,10,3
231,13,13,12,3
232,13,14,11,3
233,13,16,13,3
234,13,22,14,3
235,13,26,17,0
236,13,28,15,0
237,13,30,8,3
238,14,1,0,0
239,14,3,15,0
240,14,12,1,0
241,14,13,10,3
242,14,14,2,0
243,14,14,3,0
244,14,14,5,3
245,14,14,6,3
246,14,14,7,3
247,14,14,8,3
248,14,14,9,3
249,14,14,11,3
250,14,14,13,3
251,14,16,14,3
252,14,21,12,3
253,14,22,4,0
254,14,30,16,0
255,15,0,17,0
256,15,2,13,3
257,15,9,14,3
258,15,15,0,0
259,15,15,4,0
260,15,15,5,3
261,15,15,6,3
262,15,15,7,3
263,15,15,9,3
264,15,15,11,3
265,15,15,15,0
266,15,17,16,0
267,15,18,10,3
268,15,23,8,3
269,15,26,1,0
270,15,27,3,0
271,15,30,12,3
272,16,0,16,0
273,16,7,4,0
274,16,10,15,0
275,16,16,1,0
276,16,16,5,3
277,16,16,6,3
278,16,16,7,3
279,16,16,9,3
280,16,16,10,3
281,16,16,11,3
282,16,16,13,3
283,16,16,14,3
284,16,16,17,0
285,16,24,0,0
286,16,27,12,3
287,16,28,3,0
288,16,31,8,3
289,17,6,12,3
290,17,7,10,3
291,17,9,1,0
292,17,12,7,3
293,17,14,6,3
294,17,15,11,3
295,17,16,9,3
296,17,17,2,0
297,17,17,3,0
298,17,17,4,0
299,17,17,5,3
300,17,17,14,3
301,17,17,16,0
